Level_of_schooling,subtype,Preschool_ind,gender,Late_opening,Healthy_canteen
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,Y,Coed,Y,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,Y,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Central/Community School,Kinder to Year 12,N,Coed,N,Y
Central/Community School,Kinder to Year 12,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,Y
Primary School,Kinder to Year 6,N,Coed,N,N
Central/Community School,Kinder to Year 12,N,Coed,Y,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Central/Community School,Kinder to Year 12,N,Coed,Y,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,Y,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Central/Community School,Kinder to Year 12,N,Coed,Y,N
Central/Community School,Kinder to Year 12,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,Y,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Central/Community School,Kinder to Year 12,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,Y,Coed,N,N
Primary School,Kinder to Year 6,Y,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Central/Community School,Kinder to Year 12,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,Y,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,Y
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,Y
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Central/Community School,Kinder to Year 12,N,Coed,N,N
Central/Community School,Kinder to Year 12,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,Y,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,Y
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Central/Community School,Kinder to Year 12,Y,Coed,Y,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,Y
Primary School,Kinder to Year 6,N,Coed,N,Y
Primary School,Kinder to Year 6,N,Coed,N,N
Central/Community School,Kinder to Year 12,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,Y,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,Y,N
Primary School,Kinder to Year 6,N,Coed,Y,N
Primary School,Kinder to Year 6,N,Coed,N,N
Central/Community School,Kinder to Year 12,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,Y,N
Central/Community School,Kinder to Year 12,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Central/Community School,Kinder to Year 12,N,Coed,N,N
Central/Community School,Kinder to Year 12,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Central/Community School,Kinder to Year 12,N,Coed,Y,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,Y,Coed,Y,N
Primary School,Kinder to Year 6,N,Coed,Y,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Central/Community School,Kinder to Year 12,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Central/Community School,Kinder to Year 12,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,Y,N
Primary School,Kinder to Year 6,N,Coed,Y,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,Y,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,Y
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,Y,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,Y,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,Y,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,Y,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,N
Primary School,Kinder to Year 6,N,Coed,N,Y
Primary School,Kinder to Year 6,N,Coed,N,Y
